"# ---------------------------------------- # Ringkasan laporan # Akun: Akun Google Ads # Properti: orangutanadventuresumatra.com # ---------------------------------------- # # Tanggal mulai: 20260408 # Tanggal akhir: 20260706 Pengguna aktif","Pengguna baru","Waktu engagement rata-rata per pengguna aktif","Jumlah peristiwa",""
"62","61","6.648.387.096.774.190","633",""
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Judul halaman dan jenis layar","","","",""
"Bukit Lawang Orangutan Trekking | 4h-5d Jungle Tours","83","34","200",""
"Bukit Lawang Orangutan Trekking | Orangutan Adventure Sumatra","54","28","159","2.682.926.829.268.290"
"Book a Bukit Lawang Orangutan Trek | Orangutan Adventure Sumatra","29","9","96","0"
"3-Day Jungle Trekking | Trek details | Orangutan Adventure Sumatra","13","7","30","18.181.818.181.818.100"
"2-Day Jungle Trekking | Trek details | Orangutan Adventure Sumatra","8","7","16","0"
"Orangutan Adventure Sumatra | Ethische jungletours in Bukit Lawang","6","4","9","0"
"4-Hour Jungle Trekking | Trek details | Orangutan Adventure Sumatra","4","3","7","0"
"3-Day Exclusive Eco Jungle Package | Trek details | Orangutan Adventure Sumatra","3","3","5","0"
"5-Day Jungle Trekking | Trek details | Orangutan Adventure Sumatra","3","3","6","0"
"Bukit Lawang Orangutan Trekking | Local Guide, River Camps, Booking","3","3","4","0"
"Essential Information for Bukit Lawang Jungle Trekking | Orangutan Adventure Sumatra","3","2","6","3.333.333.333.333.330"
"Trek details | Orangutan Adventure Sumatra","3","3","4","0"
"4-Day Jungle Trekking | Trek details | Orangutan Adventure Sumatra","2","2","4","0"
"Bukit Lawang Orang-Utan-Trekking | Orang-Utan-Abenteuer Sumatra","2","1","6","0"
"Bukit Lawang Orangutan Trekking Blog | Orangutan Adventure Sumatra","2","2","6","0"
"Is Bukit Lawang Safe? Honest Guide for Solo and Female Travelers | Orangutan Adventure Sumatra","2","2","3","0"
"Payment and Deposit Information | Orangutan Adventure Sumatra","2","2","3","0"
"Privacy Policy | Orangutan Adventure Sumatra","2","2","3","0"
"Sumatra Orangutan Tour | Bukit Lawang Jungle Packages | Orangutan Adventure Sumatra","2","2","3","0"
"Sumatra Orangutan Trekking Cost and Price Guide 2026 | Orangutan Adventure Sumatra","2","2","4","0"
"1-Day Jungle Trekking | Trek details | Orangutan Adventure Sumatra","1","1","2","0"
"2-tägige Dschungel-Trekkingtour | Trekking-Details | Orang-Utan-Abenteuer Sumatra","1","1","1","0"
"3-Day Bukit Lawang Jungle Trek Itinerary for First-Time Visitors | Orangutan Adventure Sumatra","1","1","4",""
"3-Day Bukit Lawang Orangutan Trek | Itinerary, Camps, River Return","1","1","2","0"
"4-Day Exclusive Eco Jungle Package | Trek details | Orangutan Adventure Sumatra","1","1","2","0"
"5-Day Exclusive Eco Jungle Package | Trek details | Orangutan Adventure Sumatra","1","1","2","0"
"Aeroport de Medan a Bukit Lawang : toutes les options de transport | Orangutan Adventure Sumatra","1","1","2","0"
"Bat Cave | Trek details | Orangutan Adventure Sumatra","1","1","2","0"
"Best Time to Visit Bukit Lawang from Europe | Orangutan Adventure Sumatra","1","1","2","0"
"Bukit Lawang est-il sur ? Guide honnete pour voyageurs solo et femmes | Orangutan Adventure Sumatra","1","1","2","0"
"Bukit Lawang oder Tanjung Puting: Wo sieht man Orang-Utans? | Orangutan Adventure Sumatra","1","1","2","0"
"Bukit Lawang of Tanjung Puting: waar zie je orang-oetans? | Orangutan Adventure Sumatra","1","1","2","0"
"Bukit Lawang ou Tanjung Puting : ou voir des orangs-outans ? | Orangutan Adventure Sumatra","1","1","2","0"
"Bukit Lawang vs Tanjung Puting: Where to See Orangutans? | Orangutan Adventure Sumatra","1","1","2","0"
"Ethical Orangutan Trekking, Conservation, and Local Community Impact | Orangutan Adventure Sumatra","1","1","2","0"
"How to Get to Bukit Lawang from Medan | Orangutan Adventure Sumatra","1","1","2","0"
"Is Bukit Lawang veilig? Eerlijke gids voor solo- en vrouwelijke reizigers | Orangutan Adventure Sumatra","1","1","2","0"
"Ist Bukit Lawang sicher? Ehrlicher Guide fuer Solo- und Frauenreisende | Orangutan Adventure Sumatra","1","1","2","0"
"Kosten voor orang-oetan trekking in Sumatra in 2026 | Orangutan Adventure Sumatra","1","1","2","0"
"Medan Airport to Bukit Lawang: All Transport Options | Orangutan Adventure Sumatra","1","1","2","0"
"Orangutan Adventure Sumatra | Ethische Dschungeltouren in Bukit Lawang","1","1","4","0"
"Prix du trek orang-outan a Sumatra en 2026 : guide des couts | Orangutan Adventure Sumatra","1","1","2","0"
"Sumatra Orang-Utan Trekking Kosten 2026: Preisguide fuer Bukit Lawang | Orangutan Adventure Sumatra","1","1","2","0"
"The Ultimate 2-Week North Sumatra Itinerary: Bukit Lawang, Lake Toba, and Berastagi | Orangutan Adventure Sumatra","1","1","2","0"
"The Ultimate Weekend Guide to Bukit Lawang from Singapore & Malaysia | Orangutan Adventure Sumatra","1","1","2","0"
"Van Medan Airport naar Bukit Lawang: alle vervoersopties | Orangutan Adventure Sumatra","1","1","2","0"
"Vom Flughafen Medan nach Bukit Lawang: Alle Transportoptionen | Orangutan Adventure Sumatra","1","1","2","0"
"What to Pack for a Bukit Lawang Jungle Trek | Orangutan Adventure Sumatra","1","1","2","0"
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Sumber/media pengguna pertama","","","",""
"(direct) / (none)","28","","",""
"google / organic","9","","",""
"chatgpt.com / ai-assistant","6","","",""
"google / cpc","5","","",""
"facebook.com / referral","4","","",""
"m.facebook.com / referral","4","","",""
"ig / social","2","","",""
"l.instagram.com / referral","2","","",""
"bing / organic","1","","",""
"instagram.com / referral","1","","",""
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Sumber/media sesi","","","",""
"(direct) / (none)","36","","",""
"google / organic","16","","",""
"chatgpt.com / ai-assistant","7","","",""
"google / cpc","5","","",""
"facebook.com / referral","4","","",""
"m.facebook.com / referral","4","","",""
"vercel.com / referral","4","","",""
"bing / organic","2","","",""
"copilot.com / ai-assistant","2","","",""
"ig / social","2","","",""
"l.instagram.com / referral","2","","",""
"site_header / (not set)","2","","",""
"de.search.yahoo.com / referral","1","","",""
"instagram.com / referral","1","","",""
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Hari ke-n","","","",""
"0","0","0","",""
"1","0","0","",""
"2","0","0","",""
"3","0","0","",""
"4","0","0","",""
"5","0","0","",""
"6","0","0","",""
"7","0","0","",""
"8","0","0","",""
"9","0","0","",""
"10","0","0","",""
"11","0","0","",""
"12","0","0","",""
"13","0","0","",""
"14","0","0","",""
"15","0","0","",""
"16","0","0","",""
"17","0","0","",""
"18","0","0","",""
"19","0","0","",""
"20","0","0","",""
"21","0","0","",""
"22","0","0","",""
"23","0","0","",""
"24","0","0","",""
"25","0","0","",""
"26","0","0","",""
"27","0","0","",""
"28","0","0","",""
"29","0","0","",""
"30","0","0","",""
"31","0","0","",""
"32","0","0","",""
"33","0","0","",""
"34","0","0","",""
"35","0","0","",""
"36","0","0","",""
"37","0","0","",""
"38","0","0","",""
"39","0","0","",""
"40","0","0","",""
"41","0","0","",""
"42","0","0","",""
"43","0","0","",""
"44","0","0","",""
"45","0","0","",""
"46","0","0","",""
"47","0","0","",""
"48","0","0","",""
"49","0","0","",""
"50","0","0","",""
"51","0","0","",""
"52","0","0","",""
"53","0","0","",""
"54","0","0","",""
"55","0","0","",""
"56","0","0","",""
"57","0","0","",""
"58","0","0","",""
"59","0","0","",""
"60","0","0","",""
"61","0","0","",""
"62","15","3","",""
"63","4","0","",""
"64","2","0","",""
"65","3","1","",""
"66","3","0","",""
"67","1","0","",""
"68","6","0","",""
"69","1","1","",""
"70","3","1","",""
"71","3","2","",""
"72","0","0","",""
"73","1","0","",""
"74","2","0","",""
"75","0","0","",""
"76","0","0","",""
"77","1","0","",""
"78","7","2","",""
"79","2","1","",""
"80","0","1","",""
"81","0","2","",""
"82","2","0","",""
"83","0","0","",""
"84","0","0","",""
"85","0","0","",""
"86","4","0","",""
"87","2","1","",""
"88","0","1","",""
"89","0","0","",""
"# Apa perbedaan antara aktivitas platform Anda yang satu dengan yang lain?","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Platform","","","",""
"web","29","","",""
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Kota","","","",""
"Medan","12","","",""
"Dublin","8","","",""
"Jakarta","5","","",""
"Lulea","3","","",""
"Melbourne","2","","",""
"Prineville","2","","",""
"Aalst","1","","",""
"Amsterdam","1","","",""
"Antwerp","1","","",""
"Banda Aceh","1","","",""
"Bath","1","","",""
"Bengaluru","1","","",""
"Berlin","1","","",""
"Boardman","1","","",""
"Dalung","1","","",""
"Fort Worth","1","","",""
"Kabanjahe","1","","",""
"Kingston upon Hull","1","","",""
"Kuta","1","","",""
"London","1","","",""
"Makassar","1","","",""
"Mannedorf","1","","",""
"Midland","1","","",""
"Nuremberg","1","","",""
"Perth","1","","",""
"Phnom Penh","1","","",""
"Singapore","1","","",""
"Sydney","1","","",""
"Toronto","1","","",""
"Vienna","1","","",""
"Ysselsteyn","1","","",""
"Zaandam","1","","",""
"#","","","",""
"# Tanggal mulai: 20260408","","","",""
"# Tanggal akhir: 20260706","","","",""
"Nama audiens","","","",""
"All Users","62","","",""
